molecule_id,index,NumRotBonds
1,1,1
2,2,2
3,3,1
3,4,1
3,14,1
3,19,1
3,26,1
4,33,3
5,34,2
6,40,2
7,52,3
8,53,0
9,54,2
10,61,6
10,62,6
10,63,6
10,64,6
10,66,6
10,67,6
10,68,6
10,69,6
10,70,6
10,71,6
10,72,6
10,73,6
10,74,6
10,76,6
10,81,6
10,82,6
10,84,6
10,87,6
10,88,6
10,89,6
10,90,6
10,97,6
10,98,6
10,103,6
10,105,6
10,112,6
11,116,0
13,133,4
13,134,4
13,135,4
13,136,4
13,137,4
13,138,4
13,139,4
13,141,4
13,144,4
13,145,4
13,146,4
13,147,4
13,148,4
13,149,4
13,153,4
13,160,4
13,161,4
13,163,4
13,164,4
13,166,4
15,190,2
16,191,1
17,192,4
17,193,4
17,194,4
17,195,4
17,196,4
17,198,4
17,201,4
18,208,2
20,248,5
20,249,5
20,251,5
20,252,5
20,253,5
20,254,5
20,255,5
20,257,5
20,259,5
20,266,5
20,268,5
20,291,5
20,302,5
21,305,3
21,306,3
21,308,3
21,309,3
23,353,7
23,354,7
23,355,7
23,357,7
23,358,7
23,360,7
23,363,7
23,367,7
23,369,7
23,370,7
23,387,7
24,404,4
24,405,4
24,406,4
24,408,4
24,410,4
24,411,4
24,415,4
24,416,4
24,417,4
24,418,4
24,419,4
24,422,4
24,436,4
24,437,4
25,455,3
25,456,3
25,459,3
25,461,3
25,463,3
25,465,3
25,467,3
25,469,3
25,470,3
25,477,3
27,488,2
27,489,2
27,493,2
27,498,2
27,517,2
28,528,3
28,529,3
28,530,3
28,532,3
28,533,3
28,534,3
28,535,3
28,541,3
28,542,3
28,543,3
28,547,3
28,551,3
28,556,3
28,558,3
28,563,3
28,566,3
28,567,3
28,570,3
28,575,3
28,585,3
29,597,3
29,599,3
30,605,6
30,606,6
30,607,6
30,608,6
30,609,6
30,610,6
30,612,6
30,618,6
30,620,6
30,622,6
30,626,6
30,632,6
30,633,6
30,634,6
30,639,6
30,640,6
30,644,6
30,648,6
30,649,6
30,658,6
30,664,6
30,675,6
31,695,3
31,697,3
32,704,4
32,705,4
32,706,4
32,708,4
32,716,4
33,718,4
33,720,4
35,730,2
36,735,1
37,737,6
37,738,6
37,739,6
37,740,6
37,741,6
37,743,6
37,744,6
37,746,6
37,752,6
37,755,6
37,757,6
37,760,6
37,770,6
37,771,6
37,772,6
37,778,6
37,782,6
37,784,6
37,791,6
37,793,6
38,796,4
38,797,4
39,802,3
39,803,3
39,804,3
39,805,3
39,807,3
39,808,3
39,809,3
39,810,3
39,812,3
39,813,3
39,814,3
39,815,3
39,816,3
39,817,3
39,818,3
39,819,3
39,820,3
39,821,3
39,822,3
39,823,3
39,824,3
39,825,3
39,826,3
39,827,3
39,828,3
39,829,3
39,830,3
39,831,3
39,832,3
39,833,3
39,834,3
39,835,3
39,836,3
39,837,3
39,838,3
39,840,3
39,842,3
39,843,3
39,844,3
39,846,3
39,847,3
39,849,3
39,851,3
39,852,3
39,853,3
39,854,3
39,855,3
39,858,3
39,860,3
39,863,3
39,864,3
39,866,3
39,868,3
39,869,3
39,870,3
39,871,3
39,872,3
39,873,3
39,874,3
40,876,3
40,877,3
41,882,2
41,884,2
41,888,2
42,893,3
42,895,3
42,896,3
42,899,3
42,900,3
43,905,3
44,906,2
46,926,1
47,927,3
48,933,3
48,934,3
48,935,3
48,936,3
48,937,3
48,938,3
48,940,3
48,941,3
48,943,3
48,944,3
48,945,3
48,946,3
48,947,3
48,948,3
48,949,3
48,951,3
48,952,3
48,953,3
48,954,3
48,956,3
48,957,3
48,958,3
48,959,3
48,960,3
48,965,3
48,966,3
48,967,3
48,968,3
48,969,3
48,970,3
48,972,3
48,973,3
48,975,3
48,976,3
48,989,3
48,990,3
48,991,3
48,994,3
48,996,3
48,998,3
49,999,4
49,1000,4
49,1001,4
49,1003,4
49,1005,4
49,1006,4
49,1007,4
49,1008,4
49,1009,4
49,1011,4
49,1013,4
49,1017,4
49,1021,4
49,1022,4
49,1024,4
49,1025,4
49,1026,4
49,1028,4
50,1030,2
50,1034,2
51,1040,0
52,1041,4
52,1042,4
52,1051,4
52,1053,4
54,1098,2
55,1099,4
55,1100,4
55,1103,4
55,1104,4
55,1108,4
56,1119,0
56,1122,0
56,1126,0
56,1129,0
57,1135,8
57,1136,8
57,1137,8
57,1138,8
57,1139,8
57,1140,8
57,1141,8
57,1142,8
57,1143,8
57,1144,8
57,1145,8
57,1146,8
57,1147,8
57,1148,8
57,1149,8
57,1150,8
57,1151,8
57,1152,8
57,1153,8
57,1154,8
57,1155,8
57,1156,8
57,1158,8
57,1159,8
57,1160,8
57,1161,8
57,1162,8
57,1163,8
57,1164,8
57,1165,8
57,1166,8
57,1167,8
57,1168,8
57,1170,8
57,1171,8
57,1174,8
57,1175,8
57,1176,8
57,1177,8
57,1178,8
57,1179,8
57,1180,8
57,1181,8
57,1183,8
57,1184,8
57,1185,8
57,1186,8
57,1187,8
57,1188,8
57,1189,8
57,1190,8
57,1191,8
