molecule_id,index
3,3
3,4
3,14
3,26
10,61
10,62
10,63
10,64
10,66
10,67
10,68
10,69
10,70
10,71
10,72
10,74
10,76
10,81
10,82
10,87
10,88
10,89
10,90
10,97
10,98
10,103
10,105
10,112
13,133
13,134
13,135
13,136
13,137
13,138
13,139
13,141
13,144
13,145
13,146
13,147
13,148
13,149
13,153
13,160
13,161
13,163
13,164
13,166
19,209
19,212
19,214
19,215
19,216
19,217
19,218
19,219
19,221
19,224
19,229
19,241
19,243
20,248
20,249
20,251
20,252
20,253
20,254
20,255
20,257
20,259
20,266
20,268
20,291
20,302
21,305
21,306
21,308
21,309
22,315
22,316
22,317
22,322
22,329
22,336
23,353
23,354
23,355
23,357
23,358
23,360
23,369
23,370
23,387
24,404
24,405
24,406
24,408
24,410
24,411
24,415
24,417
24,418
24,419
24,422
24,436
24,437
25,455
25,456
25,459
25,461
25,463
25,465
25,467
25,469
25,470
26,483
26,484
27,488
27,489
27,493
27,517
28,528
28,529
28,530
28,534
28,535
28,541
28,542
28,543
28,547
28,551
28,556
28,558
28,563
28,566
28,567
28,570
28,575
28,585
29,597
29,599
30,605
30,606
30,607
30,608
30,609
30,610
30,612
30,618
30,620
30,622
30,626
30,632
30,633
30,634
30,639
30,640
30,644
30,648
30,649
30,658
30,664
30,675
31,695
31,697
32,704
32,705
32,706
32,708
32,716
33,718
33,720
37,737
37,738
37,739
37,740
37,743
37,744
37,746
37,752
37,757
37,760
37,770
37,771
37,778
37,784
37,791
38,796
38,797
40,876
40,877
41,882
41,884
41,888
42,893
42,895
42,896
42,899
42,900
48,933
48,934
48,935
48,936
48,937
48,938
48,940
48,941
48,943
48,944
48,945
48,946
48,947
48,948
48,949
48,951
48,952
48,953
48,954
48,956
48,957
48,958
48,959
48,960
48,965
48,966
48,967
48,968
48,969
48,970
48,972
48,973
48,975
48,976
48,989
48,990
48,991
48,994
48,996
48,998
50,1030
50,1034
52,1041
52,1042
52,1053
55,1099
55,1100
55,1103
55,1104
55,1108
56,1119
56,1122
56,1126
57,1135
57,1136
57,1137
57,1138
57,1139
57,1140
57,1141
57,1142
57,1143
57,1144
57,1145
57,1146
57,1147
57,1148
57,1149
57,1150
57,1151
57,1152
57,1153
57,1154
57,1155
57,1156
57,1158
57,1159
57,1160
57,1161
57,1162
57,1163
57,1164
57,1165
57,1166
57,1167
57,1168
57,1170
57,1174
57,1175
57,1176
57,1177
57,1178
57,1179
57,1180
57,1181
57,1183
57,1184
57,1185
57,1186
57,1187
57,1188
57,1189
57,1190
57,1191
57,1193
57,1194
57,1195
57,1197
57,1199
57,1200
57,1202
57,1203
57,1204
57,1206
57,1207
57,1208
57,1209
57,1210
57,1212
57,1213
57,1214
57,1215
57,1216
57,1217
57,1218
57,1219
57,1221
57,1223
57,1224
57,1225
57,1226
57,1227
57,1229
57,1231
57,1232
57,1233
57,1234
57,1235
57,1236
57,1237
57,1238
57,1239
57,1240
57,1241
57,1242
57,1243
57,1244
57,1245
57,1248
57,1249
57,1250
57,1253
57,1256
57,1258
57,1260
57,1261
57,1262
57,1265
57,1266
57,1267
57,1268
57,1270
57,1274
57,1276
57,1277
57,1279
57,1280
57,1281
57,1282
57,1283
57,1284
57,1286
57,1287
57,1289
57,1291
57,1292
57,1293
58,1294
58,1298
58,1299
58,1309
60,1316
60,1317
60,1318
60,1322
60,1334
60,1342
66,1374
66,1378
66,1379
66,1383
66,1384
69,1397
69,1398
69,1399
69,1400
69,1402
69,1404
69,1405
69,1408
69,1410
69,1411
69,1419
69,1421
71,1434
71,1435
71,1437
71,1443
71,1444
71,1445
71,1446
71,1450
71,1457
71,1469
72,1479
72,1480
72,1481
72,1485
72,1488
72,1506
77,1551
77,1552
77,1558
78,1603
78,1604
78,1608
78,1609
80,1620
80,1623
82,1630
82,1631
86,1643
86,1644
86,1645
86,1646
86,1648
86,1649
86,1650
86,1652
86,1653
86,1655
86,1656
86,1658
86,1660
86,1661
86,1662
86,1663
86,1664
86,1665
86,1667
86,1669
86,1670
86,1671
86,1674
86,1676
86,1677
86,1678
86,1679
86,1681
86,1682
86,1683
86,1684
86,1686
86,1687
86,1688
86,1689
86,1692
86,1693
86,1694
86,1695
86,1696
86,1697
86,1699
86,1702
86,1703
86,1704
86,1706
86,1709
86,1711
86,1713
86,1715
86,1716
86,1717
86,1718
86,1720
86,1722
86,1728
86,1731
86,1733
86,1734
86,1738
86,1741
86,1744
86,1748
86,1749
86,1750
86,1751
86,1756
86,1758
86,1760
86,1761
87,1765
87,1766
87,1767
87,1768
87,1770
87,1771
87,1775
87,1777
87,1785
87,1786
87,1791
87,1792
87,1800
87,1807
87,1816
87,1819
87,1822
87,1832
91,1848
91,1849
91,1851
91,1852
91,1853
91,1861
91,1865
91,1866
95,1964
95,1965
95,1967
95,1969
95,1970
95,1971
95,1973
95,1975
95,1977
95,1978
95,1980
95,1984
95,1985
95,1987
95,1991
95,1999
97,2004
97,2006
97,2007
97,2011
97,2014
98,2024
98,2029
98,2032
98,2034
98,2038
98,2044
98,2047
98,2057
98,2074
100,2125
100,2126
100,2127
100,2128
100,2129
100,2130
100,2131
100,2134
100,2135
100,2139
100,2148
100,2159
100,2163
100,2164
101,2165
101,2167
101,2168
101,2169
101,2171
101,2172
101,2173
101,2174
101,2175
101,2178
101,2180
101,2186
101,2188
101,2189
101,2190
101,2194
101,2196
101,2199
101,2200
101,2201
101,2204
101,2213
101,2216
101,2220
103,2238
103,2239
103,2240
103,2241
103,2242
103,2243
103,2244
103,2245
103,2246
103,2247
103,2248
103,2249
103,2250
103,2251
103,2252
103,2253
103,2254
103,2255
103,2256
103,2257
103,2258
103,2259
103,2260
103,2261
103,2262
103,2263
103,2264
103,2265
103,2266
103,2267
103,2268
103,2269
103,2270
103,2271
103,2272
103,2273
103,2274
103,2275
103,2276
103,2277
103,2278
103,2279
103,2280
