molecule_id,index,smi1,smi2,smi3,rmsd1,rmsd2,rmsd3,mmffenergy
1,1,[H]OC([H])([H])c1c([H])c([H])c([H])c([H])c1C([H])([H])C([H])([H])[H],[H]OC([H])([H])c1c([H])c([H])c([H])c([H])c1C([H])([H])C([H])([H])[H],[H]OC([H])([H])c1c([H])c([H])c([H])c([H])c1C([H])([H])C([H])([H])[H],0.06410634094447569,5.1601603722678955e-05,0.06408867228902775,24.03148241801702
1,2,[H]OC([H])([H])c1c([H])c([H])c([H])c([H])c1C([H])([H])C([H])([H])[H],[H]OC([H])([H])c1c([H])c([H])c([H])c([H])c1C([H])([H])C([H])([H])[H],[H]OC([H])([H])c1c([H])c([H])c([H])c([H])c1C([H])([H])C([H])([H])[H],0.09628054351421034,7.235128901274903e-05,0.09628689418177759,21.79580465269404
1,4,[H]OC([H])([H])c1c([H])c([H])c([H])c([H])c1C([H])([H])C([H])([H])[H],[H]OC([H])([H])c1c([H])c([H])c([H])c([H])c1C([H])([H])C([H])([H])[H],[H]OC([H])([H])c1c([H])c([H])c([H])c([H])c1C([H])([H])C([H])([H])[H],0.04457205685950269,5.8757368794203645e-05,0.04455385018076689,23.622970999041975
1,8,[H]OC([H])([H])c1c([H])c([H])c([H])c([H])c1C([H])([H])C([H])([H])[H],[H]OC([H])([H])c1c([H])c([H])c([H])c([H])c1C([H])([H])C([H])([H])[H],[H]OC([H])([H])c1c([H])c([H])c([H])c([H])c1C([H])([H])C([H])([H])[H],0.09077063835189907,6.189387182474027e-05,0.09079079752334923,23.084145377979343
1,12,[H]OC([H])([H])c1c([H])c([H])c([H])c([H])c1C([H])([H])C([H])([H])[H],[H]OC([H])([H])c1c([H])c([H])c([H])c([H])c1C([H])([H])C([H])([H])[H],[H]OC([H])([H])c1c([H])c([H])c([H])c([H])c1C([H])([H])C([H])([H])[H],0.06473448843910906,4.7393324375368415e-05,0.06472065761760672,25.329293345380812
1,13,[H]OC([H])([H])c1c([H])c([H])c([H])c([H])c1C([H])([H])C([H])([H])[H],[H]OC([H])([H])c1c([H])c([H])c([H])c([H])c1C([H])([H])C([H])([H])[H],[H]OC([H])([H])c1c([H])c([H])c([H])c([H])c1C([H])([H])C([H])([H])[H],0.061023703640900415,6.895869985197894e-05,0.06100786154220812,22.17891549474822
2,23,[H]C#CC([H])(O[H])c1c([H])c([H])c([H])c([H])c1[H],[H]C#CC([H])(O[H])c1c([H])c([H])c([H])c([H])c1[H],[H]C#CC([H])(O[H])c1c([H])c([H])c([H])c([H])c1[H],0.14464468796944574,6.893936704765099e-05,0.14463556173079245,24.556279998255494
2,24,[H]C#CC([H])(O[H])c1c([H])c([H])c([H])c([H])c1[H],[H]C#CC([H])(O[H])c1c([H])c([H])c([H])c([H])c1[H],[H]C#CC([H])(O[H])c1c([H])c([H])c([H])c([H])c1[H],0.07293062029131343,6.11040410692783e-05,0.07292943222096558,23.99028121044457
3,41,[H]OC([H])([H])c1c([H])c([H])c(F)c([H])c1F,[H]OC([H])([H])c1c([H])c([H])c(F)c([H])c1F,[H]OC([H])([H])c1c([H])c([H])c(F)c([H])c1F,0.11555034279984776,7.595218540563859e-05,0.11556049553447809,4.166335128828221
3,42,[H]OC([H])([H])c1c([H])c([H])c(F)c([H])c1F,[H]OC([H])([H])c1c([H])c([H])c(F)c([H])c1F,[H]OC([H])([H])c1c([H])c([H])c(F)c([H])c1F,0.020560717439185614,5.7933887307659546e-05,0.02057939528526411,3.290433787084686
